name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Check eGIRD,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),LAT,LON
AGRICO_6_PL3N5,ngct,PGE_valley,22.69,8.02,8.08,8.15,8,23,1,1,3.17,9.589041096,1588.3,TRUE,271.491,0.022,0.001,5.834617856,0.122529,0.0143775,1.258577,36.617022,-120.099846
AGRICO_7_UNIT,ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2,23.24723247,3542,TRUE,271.491,0.022,0.001,5.834617856,0.122529,0.0143775,1.258577,36.617022,-120.099846
ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALAMIT_7_UNIT2,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALAMIT_7_UNIT6,ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,TRUE,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,33.7688,-118.1009
ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666,TRUE,1759.55,4.627,0.048,37.81452,52.97915,1.337112,4.983456,37.7886,-122.2889
ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778,TRUE,1759.55,4.627,0.048,37.81452,52.97915,1.337112,4.983456,37.7886,-122.2889
ANAHM_2_CANYN1,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,TRUE,1271.97,0.092,0.006,27.33592964,1.21693,0.199869,5.50648,33.858056,-117.861667
