"Unmanaged","Portfolio","Composite_index","Streamflow","CDD","NG"
"1",0.138162905543206,0.085472296259308,0.155109352079597,0.0160264259796623,0.0694458702796457,0
"2",0,0,0,0,0,0
"3",0,0.0232337961939777,0,0,0,0.0232337961939777
"4",0,0,0,0,0,0
"5",0,0,0,0,0,0
"6",0,0,0,0,0,0
"7",0,0.0392273213704719,0,0,0,0.0392273213704719
"8",0,0.0700924378677978,0,0,0,0.0700924378677978
"9",0,0,0,0,0,0
"10",0,0.0523012462896038,0.0295722524174593,0,0.0523012462896038,0
"11",0,0,0,0,0,0
"12",0,0,0,0,0,0
"13",0.00984093415020482,0,0,0,0,0
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",0.208639074114506,0.0719663061160887,0.152179212579176,0,0,0.0719663061160887
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0.0312866501966393,0,0,0.0312866501966393,0
"21",0.000420607495705383,0.00716281550767484,0,0.00716281550767484,0,0
"22",0,0.000617359861990963,0,0.000617359861990963,0,0
"23",0,0.11133666963107,0,0,0.11133666963107,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0.0308373204769659,0,0.0308373204769659,0,0
"27",0,0.0528218177704929,0,0,0,0.0528218177704929
"28",0.118999749821606,0.0955030461519453,0.0525270708189858,0,0,0.0955030461519453
"29",0,0.0370306834710377,0,0.0370306834710377,0,0
"30",0,0.0341428126203329,0,0,0,0.0341428126203329
"31",0,0,0,0,0,0
"32",0,0.0458061103266427,0,0,0.0458061103266427,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0.00287189026032131,0,0,0,0.00287189026032131
"38",0,0.00413631937480297,0,0.00413631937480297,0,0
"39",0,0,0,0,0,0
"40",0.0599831950423049,0,0,0,0,0
"41",0.109490489727506,0.0756901716795717,0.105937014688658,0,0,0.0756901716795717
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
